City,FAA,IATA,ICAO,Airport,Role,Enplanements
Knoxville,TYS,TYS,KTYS,McGhee Tyson Airport,P-S,"887,103"
Memphis,MEM,MEM,KMEM,Memphis International Airport,P-S,"2,016,089"
Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-M,"6,338,517"
TEXAS,,,,,,
Abilene,ABI,ABI,KABI,Abilene Regional Airport,P-N,"84,809"
Amarillo,AMA,AMA,KAMA,Rick Husband Amarillo International Airport,P-N,"334,815"
Austin,AUS,AUS,KAUS,Austin-Bergstrom International Airport,P-M,"6,095,545"
Beaumont / Port Arthur,BPT,BPT,KBPT,Jack Brooks Regional Airport (was Southeast Texas Regional),P-N,"26,518"
Brownsville,BRO,BRO,KBRO,Brownsville/South Padre Island International Airport,P-N,"120,151"
College Station,CLL,CLL,KCLL,Easterwood Airport (Easterwood Field),P-N,"78,907"
Corpus Christi / Kingsville,CRP,CRP,KCRP,Corpus Christi International Airport,P-N,"325,815"
Dallas,DAL,DAL,KDAL,Dallas Love Field,P-M,"7,554,596"
Dallas-Fort Worth,DFW,DFW,KDFW,Dallas/Fort Worth International Airport,P-L,"31,283,579"
El Paso,ELP,ELP,KELP,El Paso International Airport,P-M,"1,414,376"
Fort Hood / Killeen / Temple,GRK,GRK,KGRK,Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield,P-N,"157,161"
Harlingen,HRL,HRL,KHRL,Valley International Airport,P-N,"263,760"
Houston,IAH,IAH,KIAH,George Bush Intercontinental Airport,P-L,"20,062,072"
Houston,HOU,HOU,KHOU,William P. Hobby Airport,P-M,"6,285,181"
Laredo,LRD,LRD,KLRD,Laredo International Airport,P-N,"101,115"
Longview,GGG,GGG,KGGG,East Texas Regional Airport,P-N,"22,480"
Lubbock,LBB,LBB,KLBB,Lubbock Preston Smith International Airport,P-S,"448,093"
McAllen,MFE,MFE,KMFE,McAllen Miller International Airport,P-S,"355,224"
Midland,MAF,MAF,KMAF,Midland International Airport,P-S,"471,490"
San Angelo,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field),P-N,"60,277"
San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,"4,179,994"
Tyler,TYR,TYR,KTYR,Tyler Pounds Regional Airport,P-N,"52,494"
Waco,ACT,ACT,KACT,Waco Regional Airport,P-N,"64,356"
Wichita Falls,SPS,SPS,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,P-N,"40,165"
UTAH,,,,,,
Cedar City,CDC,CDC,KCDC,Cedar City Regional Airport,P-N,"14,413"
Ogden,OGD,OGD,KOGD,Ogden-Hinckley Airport,R,"15,609"
Provo,PVU,PVU,KPVU,Provo Municipal Airport,P-N,"78,451"
Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,"11,143,738"
St. George,SGU,SGU,KSGU,St. George Regional Airport (opened 2011),P-N [nb 3],"78,680"
VERMONT,,,,,,
Burlington,BTV,BTV,KBTV,Burlington International Airport,P-S,"593,311"
VIRGINIA,,,,,,
Charlottesville,CHO,CHO,KCHO,Charlottesville–Albemarle Airport,P-N,"295,930"
Lynchburg,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,"75,465"
Newport News,PHF,PHF,KPHF,Newport News/Williamsburg International Airport (Patrick Henry Field),P-N,"199,421"
Norfolk,ORF,ORF,KORF,Norfolk International Airport,P-S,"1,602,631"
Richmond,RIC,RIC,KRIC,Richmond International Airport (Byrd Field),P-S,"1,777,648"
Roanoke,ROA,ROA,KROA,Roanoke Regional Airport (Woodrum Field),P-N,"305,212"
"Washington, D.C. / Arlington County",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,"11,470,854"
"Washington, D.C. / Dulles / Chantilly",IAD,IAD,KIAD,Washington Dulles International Airport,P-L,"10,596,942"
WASHINGTON,,,,,,
Bellingham,BLI,BLI,KBLI,Bellingham International Airport,P-S,"415,285"
Friday Harbor,FHR,FRD,KFHR,Friday Harbor Airport,P-N,"12,831"
Pasco,PSC,PSC,KPSC,Tri-Cities Airport,P-N,"374,301"
"Pullman / Moscow, Idaho",PUW,PUW,KPUW,Pullman/Moscow Regional Airport,P-N,"61,833"
Seattle,BFI,BFI,KBFI,King County International Airport (Boeing Field),P-N,"17,795"
Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,"21,887,110"
Spokane,GEG,GEG,KGEG,Spokane International Airport (Geiger Field),P-S,"1,570,652"
Walla Walla,ALW,ALW,KALW,Walla Walla Regional Airport,P-N,"47,439"
Wenatchee,EAT,EAT,KEAT,Pangborn Memorial Airport,P-N,"60,068"
Yakima,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field),P-N,"70,993"
WEST VIRGINIA,,,,,,
Charleston,CRW,CRW,KCRW,Yeager Airport,P-N,"213,412"
Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,"26,025"
Huntington,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),P-N,"98,489"
Morgantown,MGW,MGW,KMGW,Morgantown Municipal Airport (Walter L. Bill Hart Field),P-N,"7,851"
WISCONSIN,,,,,,
Appleton,ATW,ATW,KATW,Appleton International Airport,P-N,"270,633"
Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport,P-N,"21,304"
Green Bay,GRB,GRB,KGRB,Green Bay–Austin Straubel International Airport,P-N,"292,868"
La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport,P-N,"94,047"
Madison,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field),P-S,"903,155"
Milwaukee,MKE,MKE,KMKE,General Mitchell International Airport,P-M,"3,327,536"
Mosinee,CWA,CWA,KCWA,Central Wisconsin Airport,P-N,"119,222"
Rhinelander,RHI,RHI,KRHI,Rhinelander–Oneida County Airport,P-N,"20,414"
WYOMING,,,,,,
Casper,CPR,CPR,KCPR,Casper/Natrona County International Airport,P-N,"92,805"
Cody,COD,COD,KCOD,Yellowstone Regional Airport,P-N,"40,340"
Gillette,GCC,GCC,KGCC,Gillette-Campbell County Airport,P-N,"28,383"
Jackson,JAC,JAC,KJAC,Jackson Hole Airport,P-N,"342,044"
Laramie,LAR,LAR,KLAR,Laramie Regional Airport,P-N,"15,957"
Rock Springs,RKS,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport),P-N,"16,110"
AMERICAN SAMOA,,,,,,
"Pago Pago, Tutuila",PPG,PPG,NSTU,Pago Pago International Airport,P-N,"65,439"
GUAM,,,,,,
Agana / Tamuning,GUM,GUM,PGUM,Antonio B. Won Pat International Airport,P-S,"1,444,299"
NORTHERN MARIANAS,,,,,,
"Obyan, Saipan Island",GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada),P-S,"430,275"
Rota Island,GRO,ROP,PGRO,Rota International Airport,P-N,"19,178"
Tinian Island,TNI,TIQ,PGWT,Tinian International Airport (West Tinian),P-N,"38,452"
PUERTO RICO,,,,,,
Aguadilla,BQN,BQN,TJBQ,Rafael Hernández International Airport,P-N,"257,871"
Ceiba,RVR,NRR,TJRV,José Aponte de la Torre Airport,P-N,"43,005"
Culebra,CPX,CPX,TJCP,Benjamín Rivera Noriega Airport,P-N,"31,141"
Ponce,PSE,PSE,TJPS,Mercedita International Airport,P-N,"105,804"
San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,"4,343,354"
San Juan / Miramar,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),P-N,"24,054"
Vieques,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport,P-N,"63,104"
U.S. VIRGIN ISLANDS,,,,,,
"Charlotte Amalie, St. Thomas",STT,STT,TIST,Cyril E. King Airport,P-S,"729,382"
"Christiansted, St. Croix",STX,STX,TISX,Henry E. Rohlsen Airport,P-N,"196,047"
"
",,,,,,
